院校代码,院校,年份,口径,专业/学科,总分线,官方URL,核对说明
10280,上海大学,2024,分专业复试线,025100金融(专硕),338,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2024,官方复试线网页正文逐字核录(含政治/外语/业务课单科线)
10280,上海大学,2024,分专业复试线,030100法学(学硕),364,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2024,官方复试线网页正文逐字核录(含政治/外语/业务课单科线)
10280,上海大学,2025,分专业复试线,081200计算机科学与技术(学硕),312,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2025,官方复试线网页正文逐字核录(含政治/外语/业务课单科线)
10280,上海大学,2025,分专业复试线,085404计算机技术(专硕),260,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2025,官方复试线网页正文逐字核录(含政治/外语/业务课单科线)
10280,上海大学,2025,分专业复试线,085405软件工程(专硕),304,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2025,官方复试线网页正文逐字核录(含政治/外语/业务课单科线)
10280,上海大学,2025,分专业复试线,080200机械工程(学硕),272,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2025,官方复试线网页正文逐字核录(含政治/外语/业务课单科线)
10280,上海大学,2025,分专业复试线,025100金融(专硕),323,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2025,官方复试线网页正文逐字核录(含政治/外语/业务课单科线)
10280,上海大学,2025,分专业复试线,030100法学(学硕),323,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2025,官方复试线网页正文逐字核录(含政治/外语/业务课单科线)
10280,上海大学,2026,分专业复试线,081200计算机科学与技术(学硕),331,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2026,官方复试线网页正文逐字核录(含政治/外语/业务课单科线)
10280,上海大学,2026,分专业复试线,085404计算机技术(专硕),264,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2026,官方复试线网页正文逐字核录(含政治/外语/业务课单科线)
10280,上海大学,2026,分专业复试线,085405软件工程(专硕),358,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2026,官方复试线网页正文逐字核录(含政治/外语/业务课单科线)
10280,上海大学,2026,分专业复试线,080200机械工程(学硕),320,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2026,官方复试线网页正文逐字核录(含政治/外语/业务课单科线)
10280,上海大学,2026,分专业复试线,025100金融(专硕),324,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2026,官方复试线网页正文逐字核录(含政治/外语/业务课单科线)
10280,上海大学,2026,分专业复试线,030100法学(学硕),340,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2026,官方复试线网页正文逐字核录(含政治/外语/业务课单科线)
10001,北京大学,2024,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),310,https://admission.pku.edu.cn/docs/20240312195301489745.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2025,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),300,https://admission.pku.edu.cn/docs/20250312160154148797.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2026,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),300,https://admission.pku.edu.cn/docs/20260313100201705627.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2024,学校复试基本线(学科门类/类别),机械工程(学硕),310,https://admission.pku.edu.cn/docs/20240312195301489745.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2025,学校复试基本线(学科门类/类别),机械工程(学硕),300,https://admission.pku.edu.cn/docs/20250312160154148797.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2026,学校复试基本线(学科门类/类别),机械工程(学硕),300,https://admission.pku.edu.cn/docs/20260313100201705627.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2024,学校复试基本线(学科门类/类别),信息与通信工程(学硕),310,https://admission.pku.edu.cn/docs/20240312195301489745.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2025,学校复试基本线(学科门类/类别),信息与通信工程(学硕),300,https://admission.pku.edu.cn/docs/20250312160154148797.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2026,学校复试基本线(学科门类/类别),信息与通信工程(学硕),300,https://admission.pku.edu.cn/docs/20260313100201705627.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2024,学校复试基本线(学科门类/类别),计算机技术(专硕),330,https://admission.pku.edu.cn/docs/20240312195301489745.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2025,学校复试基本线(学科门类/类别),计算机技术(专硕),330,https://admission.pku.edu.cn/docs/20250312160154148797.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2026,学校复试基本线(学科门类/类别),计算机技术(专硕),320,https://admission.pku.edu.cn/docs/20260313100201705627.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2024,学校复试基本线(学科门类/类别),软件工程(专硕),330,https://admission.pku.edu.cn/docs/20240312195301489745.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2025,学校复试基本线(学科门类/类别),软件工程(专硕),330,https://admission.pku.edu.cn/docs/20250312160154148797.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2026,学校复试基本线(学科门类/类别),软件工程(专硕),320,https://admission.pku.edu.cn/docs/20260313100201705627.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2024,学校复试基本线(学科门类/类别),金融学(学硕),375,https://admission.pku.edu.cn/docs/20240312195301489745.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2025,学校复试基本线(学科门类/类别),金融学(学硕),375,https://admission.pku.edu.cn/docs/20250312160154148797.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2026,学校复试基本线(学科门类/类别),金融学(学硕),375,https://admission.pku.edu.cn/docs/20260313100201705627.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2024,学校复试基本线(学科门类/类别),金融(专硕),380,https://admission.pku.edu.cn/docs/20240312195301489745.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2025,学校复试基本线(学科门类/类别),金融(专硕),360,https://admission.pku.edu.cn/docs/20250312160154148797.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2026,学校复试基本线(学科门类/类别),金融(专硕),360,https://admission.pku.edu.cn/docs/20260313100201705627.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2024,学校复试基本线(学科门类/类别),教育学(学硕),355,https://admission.pku.edu.cn/docs/20240312195301489745.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2025,学校复试基本线(学科门类/类别),教育学(学硕),350,https://admission.pku.edu.cn/docs/20250312160154148797.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2026,学校复试基本线(学科门类/类别),教育学(学硕),350,https://admission.pku.edu.cn/docs/20260313100201705627.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2024,学校复试基本线(学科门类/类别),法学(学硕),345,https://admission.pku.edu.cn/docs/20240312195301489745.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2025,学校复试基本线(学科门类/类别),法学(学硕),345,https://admission.pku.edu.cn/docs/20250312160154148797.pdf,官方PDF/公告原文解析核录（总分线）
10001,北京大学,2026,学校复试基本线(学科门类/类别),法学(学硕),345,https://admission.pku.edu.cn/docs/20260313100201705627.pdf,官方PDF/公告原文解析核录（总分线）
10003,清华大学,2024,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),335,https://yz.chsi.com.cn/kyzx/fsfsx34/202403/20240313/2293269549.html,研招网官方存档核录
10003,清华大学,2025,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),325,https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356006.html,研招网官方存档核录
10003,清华大学,2026,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),330,https://yz.tsinghua.edu.cn/info/1009/3196.htm,清华研招官网PDF核录
10003,清华大学,2024,学校复试基本线(学科门类/类别),机械工程(学硕),335,https://yz.chsi.com.cn/kyzx/fsfsx34/202403/20240313/2293269549.html,研招网官方存档核录
10003,清华大学,2025,学校复试基本线(学科门类/类别),机械工程(学硕),325,https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356006.html,研招网官方存档核录
10003,清华大学,2026,学校复试基本线(学科门类/类别),机械工程(学硕),330,https://yz.tsinghua.edu.cn/info/1009/3196.htm,清华研招官网PDF核录
10003,清华大学,2024,学校复试基本线(学科门类/类别),信息与通信工程(学硕),335,https://yz.chsi.com.cn/kyzx/fsfsx34/202403/20240313/2293269549.html,研招网官方存档核录
10003,清华大学,2025,学校复试基本线(学科门类/类别),信息与通信工程(学硕),325,https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356006.html,研招网官方存档核录
10003,清华大学,2026,学校复试基本线(学科门类/类别),信息与通信工程(学硕),330,https://yz.tsinghua.edu.cn/info/1009/3196.htm,清华研招官网PDF核录
10003,清华大学,2024,学校复试基本线(学科门类/类别),计算机技术(专硕),335,https://yz.chsi.com.cn/kyzx/fsfsx34/202403/20240313/2293269549.html,研招网官方存档核录
10003,清华大学,2025,学校复试基本线(学科门类/类别),计算机技术(专硕),325,https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356006.html,研招网官方存档核录
10003,清华大学,2026,学校复试基本线(学科门类/类别),计算机技术(专硕),330,https://yz.tsinghua.edu.cn/info/1009/3196.htm,清华研招官网PDF核录
10003,清华大学,2024,学校复试基本线(学科门类/类别),软件工程(专硕),335,https://yz.chsi.com.cn/kyzx/fsfsx34/202403/20240313/2293269549.html,研招网官方存档核录
10003,清华大学,2025,学校复试基本线(学科门类/类别),软件工程(专硕),325,https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356006.html,研招网官方存档核录
10003,清华大学,2026,学校复试基本线(学科门类/类别),软件工程(专硕),330,https://yz.tsinghua.edu.cn/info/1009/3196.htm,清华研招官网PDF核录
10003,清华大学,2024,学校复试基本线(学科门类/类别),金融学(学硕),350,https://yz.chsi.com.cn/kyzx/fsfsx34/202403/20240313/2293269549.html,研招网官方存档核录
10003,清华大学,2025,学校复试基本线(学科门类/类别),金融学(学硕),350,https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356006.html,研招网官方存档核录
10003,清华大学,2026,学校复试基本线(学科门类/类别),金融学(学硕),390,https://yz.tsinghua.edu.cn/info/1009/3196.htm,清华研招官网PDF核录
10003,清华大学,2024,学校复试基本线(学科门类/类别),金融(专硕),390,https://yz.chsi.com.cn/kyzx/fsfsx34/202403/20240313/2293269549.html,研招网官方存档核录
10003,清华大学,2025,学校复试基本线(学科门类/类别),金融(专硕),365,https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356006.html,研招网官方存档核录
10003,清华大学,2026,学校复试基本线(学科门类/类别),金融(专硕),380,https://yz.tsinghua.edu.cn/info/1009/3196.htm,清华研招官网PDF核录
10003,清华大学,2024,学校复试基本线(学科门类/类别),教育学(学硕),360,https://yz.chsi.com.cn/kyzx/fsfsx34/202403/20240313/2293269549.html,研招网官方存档核录
10003,清华大学,2025,学校复试基本线(学科门类/类别),教育学(学硕),345,https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356006.html,研招网官方存档核录
10003,清华大学,2026,学校复试基本线(学科门类/类别),教育学(学硕),375,https://yz.tsinghua.edu.cn/info/1009/3196.htm,清华研招官网PDF核录
10003,清华大学,2024,学校复试基本线(学科门类/类别),法学(学硕),335,https://yz.chsi.com.cn/kyzx/fsfsx34/202403/20240313/2293269549.html,研招网官方存档核录
10003,清华大学,2025,学校复试基本线(学科门类/类别),法学(学硕),323,https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356006.html,研招网官方存档核录
10003,清华大学,2026,学校复试基本线(学科门类/类别),法学(学硕),330,https://yz.tsinghua.edu.cn/info/1009/3196.htm,清华研招官网PDF核录
10246,复旦大学,2024,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),330,https://gsao.fudan.edu.cn/28/91/c15014a665745/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2025,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),300,https://gsao.fudan.edu.cn/ff/96/c15014a720790/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2026,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),300,https://gsao.fudan.edu.cn/c8/9f/c15014a772255/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2024,学校复试基本线(学科门类/类别),信息与通信工程(学硕),320,https://gsao.fudan.edu.cn/28/91/c15014a665745/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2025,学校复试基本线(学科门类/类别),信息与通信工程(学硕),300,https://gsao.fudan.edu.cn/ff/96/c15014a720790/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2026,学校复试基本线(学科门类/类别),信息与通信工程(学硕),300,https://gsao.fudan.edu.cn/c8/9f/c15014a772255/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2025,学校复试基本线(学科门类/类别),机械工程(学硕),300,https://gsao.fudan.edu.cn/ff/96/c15014a720790/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2026,学校复试基本线(学科门类/类别),机械工程(学硕),300,https://gsao.fudan.edu.cn/c8/9f/c15014a772255/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2024,学校复试基本线(学科门类/类别),计算机技术(专硕),300,https://gsao.fudan.edu.cn/28/91/c15014a665745/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2025,学校复试基本线(学科门类/类别),计算机技术(专硕),300,https://gsao.fudan.edu.cn/ff/96/c15014a720790/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2026,学校复试基本线(学科门类/类别),计算机技术(专硕),300,https://gsao.fudan.edu.cn/c8/9f/c15014a772255/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2024,学校复试基本线(学科门类/类别),软件工程(专硕),300,https://gsao.fudan.edu.cn/28/91/c15014a665745/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2025,学校复试基本线(学科门类/类别),软件工程(专硕),300,https://gsao.fudan.edu.cn/ff/96/c15014a720790/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2026,学校复试基本线(学科门类/类别),软件工程(专硕),300,https://gsao.fudan.edu.cn/c8/9f/c15014a772255/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2024,学校复试基本线(学科门类/类别),金融学(学硕),380,https://gsao.fudan.edu.cn/28/91/c15014a665745/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2025,学校复试基本线(学科门类/类别),金融学(学硕),360,https://gsao.fudan.edu.cn/ff/96/c15014a720790/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2026,学校复试基本线(学科门类/类别),金融学(学硕),360,https://gsao.fudan.edu.cn/c8/9f/c15014a772255/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2024,学校复试基本线(学科门类/类别),金融(专硕),408,https://gsao.fudan.edu.cn/28/91/c15014a665745/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2025,学校复试基本线(学科门类/类别),金融(专硕),365,https://gsao.fudan.edu.cn/ff/96/c15014a720790/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2026,学校复试基本线(学科门类/类别),金融(专硕),380,https://gsao.fudan.edu.cn/c8/9f/c15014a772255/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2024,学校复试基本线(学科门类/类别),教育学(学硕),370,https://gsao.fudan.edu.cn/28/91/c15014a665745/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2025,学校复试基本线(学科门类/类别),教育学(学硕),341,https://gsao.fudan.edu.cn/ff/96/c15014a720790/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2026,学校复试基本线(学科门类/类别),教育学(学硕),355,https://gsao.fudan.edu.cn/c8/9f/c15014a772255/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2024,学校复试基本线(学科门类/类别),法学(学硕),345,https://gsao.fudan.edu.cn/28/91/c15014a665745/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2025,学校复试基本线(学科门类/类别),法学(学硕),330,https://gsao.fudan.edu.cn/ff/96/c15014a720790/page.htm,官方PDF/公告原文解析核录（总分线）
10246,复旦大学,2026,学校复试基本线(学科门类/类别),法学(学硕),345,https://gsao.fudan.edu.cn/c8/9f/c15014a772255/page.htm,官方PDF/公告原文解析核录（总分线）
10248,上海交通大学,2024,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),310,https://www.gs.sjtu.edu.cn/storage/gs/web/yzbcn/article/2024/04/c2662f092fb2abd1a53f37f7763e0355.pdf,官方PDF/公告原文解析核录（总分线）
10248,上海交通大学,2025,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),300,https://www.shsmu.edu.cn/__local/A/02/45/B1CA670395206A1F035624B155A_9723BBF0_1B5F1.pdf,官方PDF/公告原文解析核录（总分线）
10248,上海交通大学,2026,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),315,https://yzb.sjtu.edu.cn/post/3503,官方PDF/公告原文解析核录（总分线）
10248,上海交通大学,2024,学校复试基本线(学科门类/类别),机械工程(学硕),310,https://www.gs.sjtu.edu.cn/storage/gs/web/yzbcn/article/2024/04/c2662f092fb2abd1a53f37f7763e0355.pdf,官方PDF/公告原文解析核录（总分线）
10248,上海交通大学,2025,学校复试基本线(学科门类/类别),机械工程(学硕),300,https://www.shsmu.edu.cn/__local/A/02/45/B1CA670395206A1F035624B155A_9723BBF0_1B5F1.pdf,官方PDF/公告原文解析核录（总分线）
10248,上海交通大学,2026,学校复试基本线(学科门类/类别),机械工程(学硕),315,https://yzb.sjtu.edu.cn/post/3503,官方PDF/公告原文解析核录（总分线）
10248,上海交通大学,2024,学校复试基本线(学科门类/类别),信息与通信工程(学硕),310,https://www.gs.sjtu.edu.cn/storage/gs/web/yzbcn/article/2024/04/c2662f092fb2abd1a53f37f7763e0355.pdf,官方PDF/公告原文解析核录（总分线）
10248,上海交通大学,2025,学校复试基本线(学科门类/类别),信息与通信工程(学硕),300,https://www.shsmu.edu.cn/__local/A/02/45/B1CA670395206A1F035624B155A_9723BBF0_1B5F1.pdf,官方PDF/公告原文解析核录（总分线）
10248,上海交通大学,2026,学校复试基本线(学科门类/类别),信息与通信工程(学硕),315,https://yzb.sjtu.edu.cn/post/3503,官方PDF/公告原文解析核录（总分线）
10248,上海交通大学,2024,学校复试基本线(学科门类/类别),计算机技术(专硕),310,https://www.gs.sjtu.edu.cn/storage/gs/web/yzbcn/article/2024/04/c2662f092fb2abd1a53f37f7763e0355.pdf,官方PDF/公告原文解析核录（总分线）
10248,上海交通大学,2025,学校复试基本线(学科门类/类别),计算机技术(专硕),300,https://www.shsmu.edu.cn/__local/A/02/45/B1CA670395206A1F035624B155A_9723BBF0_1B5F1.pdf,官方PDF/公告原文解析核录（总分线）
10248,上海交通大学,2026,学校复试基本线(学科门类/类别),计算机技术(专硕),315,https://yzb.sjtu.edu.cn/post/3503,官方PDF/公告原文解析核录（总分线）
