学校,资料类型,年份,官方URL,正文可读性,核对状态,备注
上海财经大学,复试基本分数线,2026,https://gs.sufe.edu.cn/Home/Detail/7976,文字,已核对,官方原文核录；原始存证见 data/official/raw/
浙江工业大学,复试基本分数线,2024,http://www.yz.zjut.edu.cn/2024/0328/c4167a256203/page.htm,图片(OCR),已核对,官方原文核录；原始存证见 data/official/raw/
浙江工业大学,复试基本分数线,2025,http://www.yz.zjut.edu.cn/2025/0327/c4270a301258/page.htm,图片(OCR),已核对,官方原文核录；原始存证见 data/official/raw/
浙江工业大学,复试基本分数线,2026,http://www.yz.zjut.edu.cn/2026/0328/c4270a329985/page.htm,图片(OCR),已核对,官方原文核录；原始存证见 data/official/raw/
浙江理工大学,复试基本分数线,2026,https://gradadmission.zstu.edu.cn/info/1011/3343.htm,文字,已核对,官方原文核录；原始存证见 data/official/raw/
武汉大学,复试基本分数线,2024,https://wdyz.whu.edu.cn/info/1026/6373.htm,PDF附件,已核对,官方原文核录；原始存证见 data/official/raw/
武汉大学,复试基本分数线,2025,https://wdyz.whu.edu.cn/info/1026/7293.htm,PDF附件,已核对,官方原文核录；原始存证见 data/official/raw/
南京理工大学,复试基本分数线,2024,https://gs.njust.edu.cn/c3/64/c14687a312164/page.htm,文字,已核对,官方原文核录；原始存证见 data/official/raw/
南京理工大学,复试基本分数线,2025,https://gs.njust.edu.cn/zsw/63/17/c4585a353047/page.htm,文字,已核对,官方原文核录；原始存证见 data/official/raw/
南京邮电大学,复试基本分数线,2024,https://yzb.njupt.edu.cn/2024/0622/c7813a269521/page.htm,文字,已核对,官方原文核录；原始存证见 data/official/raw/
南京邮电大学,复试基本分数线,2025,https://yzb.njupt.edu.cn/2025/0526/c7813a284312/page.htm,文字,已核对,官方原文核录；原始存证见 data/official/raw/
南京邮电大学,复试基本分数线,2026,https://yzb.njupt.edu.cn/2026/0529/c7813a302875/page.htm,文字,已核对,官方原文核录；原始存证见 data/official/raw/
武汉大学,复试基本分数线,2026,https://wdyz.whu.edu.cn/wuhandaxue2026nianshuoshiyanjiushengzhaoshengkaoshifushijibenfenshuxianjixiangguanshuoming_3.20wanzhenggongbu.pdf,PDF附件,已核对,官方原文核录；原始存证见 data/official/raw/
华东政法大学,复试基本分数线,2024,https://gs.ecupl.edu.cn/2024/0319/c13332a212842/page.htm,文字,已核对,官方原文核录；原始存证见 data/official/raw/
华东政法大学,复试基本分数线,2025,https://gs.ecupl.edu.cn/2025/0320/c13332a219282/page.htm,文字,已核对,官方原文核录；原始存证见 data/official/raw/
华东政法大学,复试基本分数线,2026,https://gs.ecupl.edu.cn/2026/0324/c13332a225131/page.htm,文字,已核对,官方原文核录；原始存证见 data/official/raw/
教育部（研招网发布）,国家线（初试成绩基本要求）,2024,https://yz.chsi.com.cn/kyzx/kp/202403/20240312/2293269492.html,文字,已核对,官方发布页全表核录；原始存证见 data/official/raw/chsi/
教育部（研招网发布）,国家线（初试成绩基本要求）,2025,https://yz.chsi.com.cn/kyzx/kp/202502/20250224/2293352975.html,文字,已核对,官方发布页全表核录；原始存证见 data/official/raw/chsi/
教育部（研招网发布）,国家线（初试成绩基本要求）,2026,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,文字,已核对,官方发布页全表核录；原始存证见 data/official/raw/chsi/
