序号,院校代码,院校,年份,口径,专业/学科,总分线,官方URL,复核方法,结论
21,10335,浙江大学,2024,学校基本线(自划线),02经济学(含020204金融学学硕),400,http://www.grs.zju.edu.cn/yjszs/2024/0314/c28489a2890520/page.htm,官方正文核录,通过
22,10335,浙江大学,2024,学校基本线(自划线),0251金融(专硕),365,http://www.grs.zju.edu.cn/yjszs/2024/0314/c28489a2890520/page.htm,官方正文核录(金融/税务/国际商务同线),通过
23,10335,浙江大学,2024,学校基本线(自划线),04教育学(学硕),370,http://www.grs.zju.edu.cn/yjszs/2024/0314/c28489a2890520/page.htm,官方正文核录,通过
24,10335,浙江大学,2024,学校基本线(自划线),03法学(学硕),375,http://www.grs.zju.edu.cn/yjszs/2024/0314/c28489a2890520/page.htm,官方正文核录,通过
25,10335,浙江大学,2025,学校基本线(自划线),08工学(含081200计算机科学与技术/080200机械工程等学硕),300,http://www.grs.zju.edu.cn/yjszs/2025/0312/c28489a3026511/page.htm,官方正文核录,通过
26,10335,浙江大学,2025,学校基本线(自划线),085/086工程等专业学位,300,http://www.grs.zju.edu.cn/yjszs/2025/0312/c28489a3026511/page.htm,官方正文核录,通过
27,10335,浙江大学,2025,学校基本线(自划线),02经济学(含020204金融学学硕),370,http://www.grs.zju.edu.cn/yjszs/2025/0312/c28489a3026511/page.htm,官方正文核录,通过
28,10335,浙江大学,2025,学校基本线(自划线),0251金融(专硕),330,http://www.grs.zju.edu.cn/yjszs/2025/0312/c28489a3026511/page.htm,官方正文核录,通过
29,10335,浙江大学,2025,学校基本线(自划线),04教育学(学硕),341,http://www.grs.zju.edu.cn/yjszs/2025/0312/c28489a3026511/page.htm,官方正文核录,通过
30,10335,浙江大学,2025,学校基本线(自划线),03法学(学硕),335,http://www.grs.zju.edu.cn/yjszs/2025/0312/c28489a3026511/page.htm,官方正文核录,通过
31,10335,浙江大学,2026,学校基本线(自划线),08工学(含081200计算机科学与技术/080200机械工程等学硕),310,http://www.grs.zju.edu.cn/yjszs/2026/0313/c28498a3140077/page.htm,官方页表格为图片;数值经研招网/新华网/教育在线等多源转载一致核对,通过
32,10335,浙江大学,2026,学校基本线(自划线),085/086工程等专业学位,310,http://www.grs.zju.edu.cn/yjszs/2026/0313/c28498a3140077/page.htm,同上多源交叉核对,通过
33,10335,浙江大学,2026,学校基本线(自划线),02经济学(含020204金融学学硕),360,http://www.grs.zju.edu.cn/yjszs/2026/0313/c28498a3140077/page.htm,同上多源交叉核对,通过
34,10335,浙江大学,2026,学校基本线(自划线),0251金融(专硕),370,http://www.grs.zju.edu.cn/yjszs/2026/0313/c28498a3140077/page.htm,经济学院官方方案及研招信息多源一致,通过
35,10335,浙江大学,2026,学校基本线(自划线),04教育学(不含0403体育学,学硕),370,http://www.grs.zju.edu.cn/yjszs/2026/0313/c28498a3140077/page.htm,通过
36,10335,浙江大学,2026,学校基本线(自划线),03法学(学硕),365,http://www.grs.zju.edu.cn/yjszs/2026/0313/c28498a3140077/page.htm,同上多源交叉核对,通过
37,10701,西安电子科技大学,2024,计算机学院复试线(全日制01方向),081200计算机科学与技术(学硕),340,https://cs.xidian.edu.cn/info/1026/16334.htm,官方正文逐字核录,通过
38,10701,西安电子科技大学,2024,计算机学院复试线(全日制01方向),085404计算机技术(专硕),315,https://cs.xidian.edu.cn/info/1026/16334.htm,官方正文逐字核录,通过
39,10701,西安电子科技大学,2024,计算机学院复试线(全日制01方向),085405软件工程(专硕),300,https://cs.xidian.edu.cn/info/1026/16334.htm,官方正文逐字核录,通过
40,10701,西安电子科技大学,2025,计算机学院复试线(全日制01方向),081200计算机科学与技术(学硕),330,https://cs.xidian.edu.cn/info/2082/19234.htm,官方表格图片本地OCR核录,通过
41,10701,西安电子科技大学,2025,计算机学院复试线(全日制01方向),085404计算机技术(专硕),345,https://cs.xidian.edu.cn/info/2082/19234.htm,官方表格图片本地OCR核录,通过
42,10701,西安电子科技大学,2025,计算机学院复试线(全日制01方向),085405软件工程(专硕),330,https://cs.xidian.edu.cn/info/2082/19234.htm,官方表格图片本地OCR核录,通过
43,10701,西安电子科技大学,2026,计算机学院复试线(全日制01方向),081200计算机科学与技术(学硕),335,https://cs.xidian.edu.cn/info/2542/23764.htm,官方表格图片本地OCR核录,通过
44,10701,西安电子科技大学,2026,计算机学院复试线(全日制01方向),085404计算机技术(专硕),310,https://cs.xidian.edu.cn/info/2542/23764.htm,官方表格图片本地OCR核录,通过
45,10701,西安电子科技大学,2026,计算机学院复试线(全日制01方向),085405软件工程(专硕),310,https://cs.xidian.edu.cn/info/2542/23764.htm,官方表格图片本地OCR核录,通过
46,10280,上海大学,2024,分专业复试线,081200计算机科学与技术(学硕),331,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2024,官方复试线网页正文逐字核录(含政治/外语/业务课单科线),通过
47,10280,上海大学,2024,分专业复试线,080200机械工程(学硕),297,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2024,官方复试线网页正文逐字核录(含政治/外语/业务课单科线),通过
48,10280,上海大学,2024,分专业复试线,025100金融(专硕),338,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2024,官方复试线网页正文逐字核录(含政治/外语/业务课单科线),通过
49,10280,上海大学,2024,分专业复试线,030100法学(学硕),364,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2024,官方复试线网页正文逐字核录(含政治/外语/业务课单科线),通过
50,10280,上海大学,2025,分专业复试线,081200计算机科学与技术(学硕),312,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2025,官方复试线网页正文逐字核录(含政治/外语/业务课单科线),通过
51,10280,上海大学,2025,分专业复试线,085404计算机技术(专硕),260,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2025,官方复试线网页正文逐字核录(含政治/外语/业务课单科线),通过
52,10280,上海大学,2025,分专业复试线,085405软件工程(专硕),304,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2025,官方复试线网页正文逐字核录(含政治/外语/业务课单科线),通过
53,10280,上海大学,2025,分专业复试线,080200机械工程(学硕),272,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2025,官方复试线网页正文逐字核录(含政治/外语/业务课单科线),通过
54,10280,上海大学,2025,分专业复试线,025100金融(专硕),323,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2025,官方复试线网页正文逐字核录(含政治/外语/业务课单科线),通过
55,10280,上海大学,2025,分专业复试线,030100法学(学硕),323,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2025,官方复试线网页正文逐字核录(含政治/外语/业务课单科线),通过
56,10280,上海大学,2026,分专业复试线,081200计算机科学与技术(学硕),331,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2026,官方复试线网页正文逐字核录(含政治/外语/业务课单科线),通过
57,10280,上海大学,2026,分专业复试线,085404计算机技术(专硕),264,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2026,官方复试线网页正文逐字核录(含政治/外语/业务课单科线),通过
58,10280,上海大学,2026,分专业复试线,085405软件工程(专硕),358,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2026,官方复试线网页正文逐字核录(含政治/外语/业务课单科线),通过
59,10280,上海大学,2026,分专业复试线,080200机械工程(学硕),320,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2026,官方复试线网页正文逐字核录(含政治/外语/业务课单科线),通过
60,10280,上海大学,2026,分专业复试线,025100金融(专硕),324,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2026,官方复试线网页正文逐字核录(含政治/外语/业务课单科线),通过
61,10280,上海大学,2026,分专业复试线,030100法学(学硕),340,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2026,官方复试线网页正文逐字核录(含政治/外语/业务课单科线),通过
62,10001,北京大学,2024,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),310,https://admission.pku.edu.cn/docs/20240312195301489745.pdf,官方PDF/公告原文解析核录（总分线）,通过
63,10001,北京大学,2025,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),300,https://admission.pku.edu.cn/docs/20250312160154148797.pdf,官方PDF/公告原文解析核录（总分线）,通过
64,10001,北京大学,2026,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),300,https://admission.pku.edu.cn/docs/20260313100201705627.pdf,官方PDF/公告原文解析核录（总分线）,通过
65,10001,北京大学,2024,学校复试基本线(学科门类/类别),机械工程(学硕),310,https://admission.pku.edu.cn/docs/20240312195301489745.pdf,官方PDF/公告原文解析核录（总分线）,通过
66,10001,北京大学,2025,学校复试基本线(学科门类/类别),机械工程(学硕),300,https://admission.pku.edu.cn/docs/20250312160154148797.pdf,官方PDF/公告原文解析核录（总分线）,通过
67,10001,北京大学,2026,学校复试基本线(学科门类/类别),机械工程(学硕),300,https://admission.pku.edu.cn/docs/20260313100201705627.pdf,官方PDF/公告原文解析核录（总分线）,通过
68,10001,北京大学,2024,学校复试基本线(学科门类/类别),信息与通信工程(学硕),310,https://admission.pku.edu.cn/docs/20240312195301489745.pdf,官方PDF/公告原文解析核录（总分线）,通过
69,10001,北京大学,2025,学校复试基本线(学科门类/类别),信息与通信工程(学硕),300,https://admission.pku.edu.cn/docs/20250312160154148797.pdf,官方PDF/公告原文解析核录（总分线）,通过
70,10001,北京大学,2026,学校复试基本线(学科门类/类别),信息与通信工程(学硕),300,https://admission.pku.edu.cn/docs/20260313100201705627.pdf,官方PDF/公告原文解析核录（总分线）,通过
71,10001,北京大学,2024,学校复试基本线(学科门类/类别),计算机技术(专硕),330,https://admission.pku.edu.cn/docs/20240312195301489745.pdf,官方PDF/公告原文解析核录（总分线）,通过
72,10001,北京大学,2025,学校复试基本线(学科门类/类别),计算机技术(专硕),330,https://admission.pku.edu.cn/docs/20250312160154148797.pdf,官方PDF/公告原文解析核录（总分线）,通过
73,10001,北京大学,2026,学校复试基本线(学科门类/类别),计算机技术(专硕),320,https://admission.pku.edu.cn/docs/20260313100201705627.pdf,官方PDF/公告原文解析核录（总分线）,通过
74,10001,北京大学,2024,学校复试基本线(学科门类/类别),软件工程(专硕),330,https://admission.pku.edu.cn/docs/20240312195301489745.pdf,官方PDF/公告原文解析核录（总分线）,通过
75,10001,北京大学,2025,学校复试基本线(学科门类/类别),软件工程(专硕),330,https://admission.pku.edu.cn/docs/20250312160154148797.pdf,官方PDF/公告原文解析核录（总分线）,通过
76,10001,北京大学,2026,学校复试基本线(学科门类/类别),软件工程(专硕),320,https://admission.pku.edu.cn/docs/20260313100201705627.pdf,官方PDF/公告原文解析核录（总分线）,通过
77,10001,北京大学,2024,学校复试基本线(学科门类/类别),金融学(学硕),375,https://admission.pku.edu.cn/docs/20240312195301489745.pdf,官方PDF/公告原文解析核录（总分线）,通过
78,10001,北京大学,2025,学校复试基本线(学科门类/类别),金融学(学硕),375,https://admission.pku.edu.cn/docs/20250312160154148797.pdf,官方PDF/公告原文解析核录（总分线）,通过
79,10001,北京大学,2026,学校复试基本线(学科门类/类别),金融学(学硕),375,https://admission.pku.edu.cn/docs/20260313100201705627.pdf,官方PDF/公告原文解析核录（总分线）,通过
80,10001,北京大学,2024,学校复试基本线(学科门类/类别),金融(专硕),380,https://admission.pku.edu.cn/docs/20240312195301489745.pdf,官方PDF/公告原文解析核录（总分线）,通过
81,10001,北京大学,2025,学校复试基本线(学科门类/类别),金融(专硕),360,https://admission.pku.edu.cn/docs/20250312160154148797.pdf,官方PDF/公告原文解析核录（总分线）,通过
82,10001,北京大学,2026,学校复试基本线(学科门类/类别),金融(专硕),360,https://admission.pku.edu.cn/docs/20260313100201705627.pdf,官方PDF/公告原文解析核录（总分线）,通过
83,10001,北京大学,2024,学校复试基本线(学科门类/类别),教育学(学硕),355,https://admission.pku.edu.cn/docs/20240312195301489745.pdf,官方PDF/公告原文解析核录（总分线）,通过
84,10001,北京大学,2025,学校复试基本线(学科门类/类别),教育学(学硕),350,https://admission.pku.edu.cn/docs/20250312160154148797.pdf,官方PDF/公告原文解析核录（总分线）,通过
85,10001,北京大学,2026,学校复试基本线(学科门类/类别),教育学(学硕),350,https://admission.pku.edu.cn/docs/20260313100201705627.pdf,官方PDF/公告原文解析核录（总分线）,通过
86,10001,北京大学,2024,学校复试基本线(学科门类/类别),法学(学硕),345,https://admission.pku.edu.cn/docs/20240312195301489745.pdf,官方PDF/公告原文解析核录（总分线）,通过
87,10001,北京大学,2025,学校复试基本线(学科门类/类别),法学(学硕),345,https://admission.pku.edu.cn/docs/20250312160154148797.pdf,官方PDF/公告原文解析核录（总分线）,通过
88,10001,北京大学,2026,学校复试基本线(学科门类/类别),法学(学硕),345,https://admission.pku.edu.cn/docs/20260313100201705627.pdf,官方PDF/公告原文解析核录（总分线）,通过
89,10003,清华大学,2024,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),335,https://yz.chsi.com.cn/kyzx/fsfsx34/202403/20240313/2293269549.html,研招网官方存档核录,通过
90,10003,清华大学,2025,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),325,https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356006.html,研招网官方存档核录,通过
91,10003,清华大学,2026,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),330,https://yz.tsinghua.edu.cn/info/1009/3196.htm,清华研招官网PDF核录,通过
92,10003,清华大学,2024,学校复试基本线(学科门类/类别),机械工程(学硕),335,https://yz.chsi.com.cn/kyzx/fsfsx34/202403/20240313/2293269549.html,研招网官方存档核录,通过
93,10003,清华大学,2025,学校复试基本线(学科门类/类别),机械工程(学硕),325,https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356006.html,研招网官方存档核录,通过
94,10003,清华大学,2026,学校复试基本线(学科门类/类别),机械工程(学硕),330,https://yz.tsinghua.edu.cn/info/1009/3196.htm,清华研招官网PDF核录,通过
95,10003,清华大学,2024,学校复试基本线(学科门类/类别),信息与通信工程(学硕),335,https://yz.chsi.com.cn/kyzx/fsfsx34/202403/20240313/2293269549.html,研招网官方存档核录,通过
96,10003,清华大学,2025,学校复试基本线(学科门类/类别),信息与通信工程(学硕),325,https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356006.html,研招网官方存档核录,通过
97,10003,清华大学,2026,学校复试基本线(学科门类/类别),信息与通信工程(学硕),330,https://yz.tsinghua.edu.cn/info/1009/3196.htm,清华研招官网PDF核录,通过
98,10003,清华大学,2024,学校复试基本线(学科门类/类别),计算机技术(专硕),335,https://yz.chsi.com.cn/kyzx/fsfsx34/202403/20240313/2293269549.html,研招网官方存档核录,通过
99,10003,清华大学,2025,学校复试基本线(学科门类/类别),计算机技术(专硕),325,https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356006.html,研招网官方存档核录,通过
100,10003,清华大学,2026,学校复试基本线(学科门类/类别),计算机技术(专硕),330,https://yz.tsinghua.edu.cn/info/1009/3196.htm,清华研招官网PDF核录,通过
101,10003,清华大学,2024,学校复试基本线(学科门类/类别),软件工程(专硕),335,https://yz.chsi.com.cn/kyzx/fsfsx34/202403/20240313/2293269549.html,研招网官方存档核录,通过
102,10003,清华大学,2025,学校复试基本线(学科门类/类别),软件工程(专硕),325,https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356006.html,研招网官方存档核录,通过
103,10003,清华大学,2026,学校复试基本线(学科门类/类别),软件工程(专硕),330,https://yz.tsinghua.edu.cn/info/1009/3196.htm,清华研招官网PDF核录,通过
104,10003,清华大学,2024,学校复试基本线(学科门类/类别),金融学(学硕),350,https://yz.chsi.com.cn/kyzx/fsfsx34/202403/20240313/2293269549.html,研招网官方存档核录,通过
105,10003,清华大学,2025,学校复试基本线(学科门类/类别),金融学(学硕),350,https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356006.html,研招网官方存档核录,通过
106,10003,清华大学,2026,学校复试基本线(学科门类/类别),金融学(学硕),390,https://yz.tsinghua.edu.cn/info/1009/3196.htm,清华研招官网PDF核录,通过
107,10003,清华大学,2024,学校复试基本线(学科门类/类别),金融(专硕),390,https://yz.chsi.com.cn/kyzx/fsfsx34/202403/20240313/2293269549.html,研招网官方存档核录,通过
108,10003,清华大学,2025,学校复试基本线(学科门类/类别),金融(专硕),365,https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356006.html,研招网官方存档核录,通过
109,10003,清华大学,2026,学校复试基本线(学科门类/类别),金融(专硕),380,https://yz.tsinghua.edu.cn/info/1009/3196.htm,清华研招官网PDF核录,通过
110,10003,清华大学,2024,学校复试基本线(学科门类/类别),教育学(学硕),360,https://yz.chsi.com.cn/kyzx/fsfsx34/202403/20240313/2293269549.html,研招网官方存档核录,通过
111,10003,清华大学,2025,学校复试基本线(学科门类/类别),教育学(学硕),345,https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356006.html,研招网官方存档核录,通过
112,10003,清华大学,2026,学校复试基本线(学科门类/类别),教育学(学硕),375,https://yz.tsinghua.edu.cn/info/1009/3196.htm,清华研招官网PDF核录,通过
113,10003,清华大学,2024,学校复试基本线(学科门类/类别),法学(学硕),335,https://yz.chsi.com.cn/kyzx/fsfsx34/202403/20240313/2293269549.html,研招网官方存档核录,通过
114,10003,清华大学,2025,学校复试基本线(学科门类/类别),法学(学硕),323,https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356006.html,研招网官方存档核录,通过
115,10003,清华大学,2026,学校复试基本线(学科门类/类别),法学(学硕),330,https://yz.tsinghua.edu.cn/info/1009/3196.htm,清华研招官网PDF核录,通过
116,10246,复旦大学,2024,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),330,https://gsao.fudan.edu.cn/28/91/c15014a665745/page.htm,官方PDF/公告原文解析核录（总分线）,通过
117,10246,复旦大学,2025,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),300,https://gsao.fudan.edu.cn/ff/96/c15014a720790/page.htm,官方PDF/公告原文解析核录（总分线）,通过
118,10246,复旦大学,2026,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),300,https://gsao.fudan.edu.cn/c8/9f/c15014a772255/page.htm,官方PDF/公告原文解析核录（总分线）,通过
119,10246,复旦大学,2024,学校复试基本线(学科门类/类别),信息与通信工程(学硕),320,https://gsao.fudan.edu.cn/28/91/c15014a665745/page.htm,官方PDF/公告原文解析核录（总分线）,通过
120,10246,复旦大学,2025,学校复试基本线(学科门类/类别),信息与通信工程(学硕),300,https://gsao.fudan.edu.cn/ff/96/c15014a720790/page.htm,官方PDF/公告原文解析核录（总分线）,通过
121,10246,复旦大学,2026,学校复试基本线(学科门类/类别),信息与通信工程(学硕),300,https://gsao.fudan.edu.cn/c8/9f/c15014a772255/page.htm,官方PDF/公告原文解析核录（总分线）,通过
122,10246,复旦大学,2025,学校复试基本线(学科门类/类别),机械工程(学硕),300,https://gsao.fudan.edu.cn/ff/96/c15014a720790/page.htm,官方PDF/公告原文解析核录（总分线）,通过
123,10246,复旦大学,2026,学校复试基本线(学科门类/类别),机械工程(学硕),300,https://gsao.fudan.edu.cn/c8/9f/c15014a772255/page.htm,官方PDF/公告原文解析核录（总分线）,通过
124,10246,复旦大学,2024,学校复试基本线(学科门类/类别),计算机技术(专硕),300,https://gsao.fudan.edu.cn/28/91/c15014a665745/page.htm,官方PDF/公告原文解析核录（总分线）,通过
125,10246,复旦大学,2025,学校复试基本线(学科门类/类别),计算机技术(专硕),300,https://gsao.fudan.edu.cn/ff/96/c15014a720790/page.htm,官方PDF/公告原文解析核录（总分线）,通过
126,10246,复旦大学,2026,学校复试基本线(学科门类/类别),计算机技术(专硕),300,https://gsao.fudan.edu.cn/c8/9f/c15014a772255/page.htm,官方PDF/公告原文解析核录（总分线）,通过
127,10246,复旦大学,2024,学校复试基本线(学科门类/类别),软件工程(专硕),300,https://gsao.fudan.edu.cn/28/91/c15014a665745/page.htm,官方PDF/公告原文解析核录（总分线）,通过
128,10246,复旦大学,2025,学校复试基本线(学科门类/类别),软件工程(专硕),300,https://gsao.fudan.edu.cn/ff/96/c15014a720790/page.htm,官方PDF/公告原文解析核录（总分线）,通过
129,10246,复旦大学,2026,学校复试基本线(学科门类/类别),软件工程(专硕),300,https://gsao.fudan.edu.cn/c8/9f/c15014a772255/page.htm,官方PDF/公告原文解析核录（总分线）,通过
130,10246,复旦大学,2024,学校复试基本线(学科门类/类别),金融学(学硕),380,https://gsao.fudan.edu.cn/28/91/c15014a665745/page.htm,官方PDF/公告原文解析核录（总分线）,通过
131,10246,复旦大学,2025,学校复试基本线(学科门类/类别),金融学(学硕),360,https://gsao.fudan.edu.cn/ff/96/c15014a720790/page.htm,官方PDF/公告原文解析核录（总分线）,通过
132,10246,复旦大学,2026,学校复试基本线(学科门类/类别),金融学(学硕),360,https://gsao.fudan.edu.cn/c8/9f/c15014a772255/page.htm,官方PDF/公告原文解析核录（总分线）,通过
133,10246,复旦大学,2024,学校复试基本线(学科门类/类别),金融(专硕),408,https://gsao.fudan.edu.cn/28/91/c15014a665745/page.htm,官方PDF/公告原文解析核录（总分线）,通过
134,10246,复旦大学,2025,学校复试基本线(学科门类/类别),金融(专硕),365,https://gsao.fudan.edu.cn/ff/96/c15014a720790/page.htm,官方PDF/公告原文解析核录（总分线）,通过
135,10246,复旦大学,2026,学校复试基本线(学科门类/类别),金融(专硕),380,https://gsao.fudan.edu.cn/c8/9f/c15014a772255/page.htm,官方PDF/公告原文解析核录（总分线）,通过
136,10246,复旦大学,2024,学校复试基本线(学科门类/类别),教育学(学硕),370,https://gsao.fudan.edu.cn/28/91/c15014a665745/page.htm,官方PDF/公告原文解析核录（总分线）,通过
137,10246,复旦大学,2025,学校复试基本线(学科门类/类别),教育学(学硕),341,https://gsao.fudan.edu.cn/ff/96/c15014a720790/page.htm,官方PDF/公告原文解析核录（总分线）,通过
138,10246,复旦大学,2026,学校复试基本线(学科门类/类别),教育学(学硕),355,https://gsao.fudan.edu.cn/c8/9f/c15014a772255/page.htm,官方PDF/公告原文解析核录（总分线）,通过
139,10246,复旦大学,2024,学校复试基本线(学科门类/类别),法学(学硕),345,https://gsao.fudan.edu.cn/28/91/c15014a665745/page.htm,官方PDF/公告原文解析核录（总分线）,通过
140,10246,复旦大学,2025,学校复试基本线(学科门类/类别),法学(学硕),330,https://gsao.fudan.edu.cn/ff/96/c15014a720790/page.htm,官方PDF/公告原文解析核录（总分线）,通过
141,10246,复旦大学,2026,学校复试基本线(学科门类/类别),法学(学硕),345,https://gsao.fudan.edu.cn/c8/9f/c15014a772255/page.htm,官方PDF/公告原文解析核录（总分线）,通过
142,10248,上海交通大学,2024,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),310,https://www.gs.sjtu.edu.cn/storage/gs/web/yzbcn/article/2024/04/c2662f092fb2abd1a53f37f7763e0355.pdf,官方PDF/公告原文解析核录（总分线）,通过
143,10248,上海交通大学,2025,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),300,https://www.shsmu.edu.cn/__local/A/02/45/B1CA670395206A1F035624B155A_9723BBF0_1B5F1.pdf,官方PDF/公告原文解析核录（总分线）,通过
144,10248,上海交通大学,2026,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),315,https://yzb.sjtu.edu.cn/post/3503,官方PDF/公告原文解析核录（总分线）,通过
145,10248,上海交通大学,2024,学校复试基本线(学科门类/类别),机械工程(学硕),310,https://www.gs.sjtu.edu.cn/storage/gs/web/yzbcn/article/2024/04/c2662f092fb2abd1a53f37f7763e0355.pdf,官方PDF/公告原文解析核录（总分线）,通过
146,10248,上海交通大学,2025,学校复试基本线(学科门类/类别),机械工程(学硕),300,https://www.shsmu.edu.cn/__local/A/02/45/B1CA670395206A1F035624B155A_9723BBF0_1B5F1.pdf,官方PDF/公告原文解析核录（总分线）,通过
