year,region,subject_code,subject_name,total,politics,english,business1,business2,remark,source_url
2022,A,4,教育学,351,51,51,153,,,https://yz.chsi.com.cn/kyzx/
2022,B,4,教育学,341,48,48,144,,,https://yz.chsi.com.cn/kyzx/
2022,A,5,文学,367,56,56,84,84,,https://yz.chsi.com.cn/kyzx/
2022,B,5,文学,357,53,53,79,79,,https://yz.chsi.com.cn/kyzx/
2022,A,6,历史学,336,46,46,138,,,https://yz.chsi.com.cn/kyzx/
2022,B,6,历史学,326,43,43,129,,,https://yz.chsi.com.cn/kyzx/
2022,A,7,理学,290,39,39,59,59,,https://yz.chsi.com.cn/kyzx/
2022,B,7,理学,280,36,36,54,54,,https://yz.chsi.com.cn/kyzx/
2022,A,8,工学,273,38,38,57,57,,https://yz.chsi.com.cn/kyzx/
2022,B,8,工学,263,35,35,52,52,,https://yz.chsi.com.cn/kyzx/
2022,A,9,农学,252,33,33,50,50,,https://yz.chsi.com.cn/kyzx/
2022,B,9,农学,242,30,30,45,45,,https://yz.chsi.com.cn/kyzx/
2022,A,10,医学,309,43,43,129,,,https://yz.chsi.com.cn/kyzx/
2022,B,10,医学,299,40,40,120,,,https://yz.chsi.com.cn/kyzx/
2022,A,11,军事学,265,37,37,56,56,,https://yz.chsi.com.cn/kyzx/
2022,B,11,军事学,255,34,34,51,51,,https://yz.chsi.com.cn/kyzx/
2022,A,12,管理学,353,51,51,77,77,,https://yz.chsi.com.cn/kyzx/
2022,B,12,管理学,343,48,48,72,72,,https://yz.chsi.com.cn/kyzx/
2022,A,13,艺术学,361,40,40,60,60,,https://yz.chsi.com.cn/kyzx/
2022,B,13,艺术学,351,37,37,56,56,,https://yz.chsi.com.cn/kyzx/
2021,A,1,哲学,299,41,41,62,62,,https://yz.chsi.com.cn/kyzx/
2021,B,1,哲学,289,38,38,57,57,,https://yz.chsi.com.cn/kyzx/
2021,A,2,经济学,348,49,49,74,74,,https://yz.chsi.com.cn/kyzx/
2021,B,2,经济学,338,46,46,69,69,,https://yz.chsi.com.cn/kyzx/
2021,A,3,法学,321,44,44,66,66,,https://yz.chsi.com.cn/kyzx/
2021,B,3,法学,311,41,41,62,62,,https://yz.chsi.com.cn/kyzx/
2021,A,4,教育学,337,47,47,141,,,https://yz.chsi.com.cn/kyzx/
2021,B,4,教育学,327,44,44,132,,,https://yz.chsi.com.cn/kyzx/
2021,A,5,文学,355,53,53,80,80,,https://yz.chsi.com.cn/kyzx/
2021,B,5,文学,345,50,50,75,75,,https://yz.chsi.com.cn/kyzx/
2021,A,6,历史学,321,43,43,129,,,https://yz.chsi.com.cn/kyzx/
2021,B,6,历史学,311,40,40,120,,,https://yz.chsi.com.cn/kyzx/
2021,A,7,理学,280,37,37,56,56,,https://yz.chsi.com.cn/kyzx/
2021,B,7,理学,270,34,34,51,51,,https://yz.chsi.com.cn/kyzx/
2021,A,8,工学,263,37,37,56,56,,https://yz.chsi.com.cn/kyzx/
2021,B,8,工学,253,34,34,51,51,,https://yz.chsi.com.cn/kyzx/
2021,A,9,农学,252,33,33,50,50,,https://yz.chsi.com.cn/kyzx/
2021,B,9,农学,242,30,30,45,45,,https://yz.chsi.com.cn/kyzx/
2021,A,10,医学,299,41,41,123,,,https://yz.chsi.com.cn/kyzx/
2021,B,10,医学,289,38,38,114,,,https://yz.chsi.com.cn/kyzx/
2021,A,11,军事学,265,37,37,56,56,,https://yz.chsi.com.cn/kyzx/
2021,B,11,军事学,255,34,34,51,51,,https://yz.chsi.com.cn/kyzx/
2021,A,12,管理学,341,48,48,72,72,,https://yz.chsi.com.cn/kyzx/
2021,B,12,管理学,331,45,45,67,67,,https://yz.chsi.com.cn/kyzx/
2021,A,13,艺术学,346,38,38,57,57,,https://yz.chsi.com.cn/kyzx/
2021,B,13,艺术学,336,35,35,53,53,,https://yz.chsi.com.cn/kyzx/
2020,A,1,哲学,300,42,42,63,63,,https://yz.chsi.com.cn/kyzx/
2020,B,1,哲学,290,39,39,59,59,,https://yz.chsi.com.cn/kyzx/
2020,A,2,经济学,343,48,48,72,72,,https://yz.chsi.com.cn/kyzx/
2020,B,2,经济学,333,45,45,68,68,,https://yz.chsi.com.cn/kyzx/
2020,A,3,法学,325,46,46,69,69,,https://yz.chsi.com.cn/kyzx/
2020,B,3,法学,315,43,43,65,65,,https://yz.chsi.com.cn/kyzx/
2020,A,4,教育学,331,46,46,138,,,https://yz.chsi.com.cn/kyzx/
2020,B,4,教育学,321,43,43,129,,,https://yz.chsi.com.cn/kyzx/
2020,A,5,文学,355,52,52,78,78,,https://yz.chsi.com.cn/kyzx/
2020,B,5,文学,345,49,49,74,74,,https://yz.chsi.com.cn/kyzx/
2020,A,6,历史学,324,44,44,132,,,https://yz.chsi.com.cn/kyzx/
2020,B,6,历史学,314,41,41,124,,,https://yz.chsi.com.cn/kyzx/
2020,A,7,理学,288,40,40,60,60,,https://yz.chsi.com.cn/kyzx/
2020,B,7,理学,278,37,37,56,56,,https://yz.chsi.com.cn/kyzx/
2020,A,8,工学,264,37,37,56,56,,https://yz.chsi.com.cn/kyzx/
2020,B,8,工学,254,34,34,51,51,,https://yz.chsi.com.cn/kyzx/
2020,A,9,农学,253,33,33,50,50,,https://yz.chsi.com.cn/kyzx/
2020,B,9,农学,243,30,30,45,45,,https://yz.chsi.com.cn/kyzx/
2020,A,10,医学,300,42,42,126,,,https://yz.chsi.com.cn/kyzx/
2020,B,10,医学,290,39,39,117,,,https://yz.chsi.com.cn/kyzx/
2020,A,11,军事学,265,37,37,56,56,,https://yz.chsi.com.cn/kyzx/
2020,B,11,军事学,255,34,34,51,51,,https://yz.chsi.com.cn/kyzx/
2020,A,12,管理学,345,49,49,74,74,,https://yz.chsi.com.cn/kyzx/
2020,B,12,管理学,335,46,46,69,69,,https://yz.chsi.com.cn/kyzx/
2020,A,13,艺术学,347,38,38,57,57,,https://yz.chsi.com.cn/kyzx/
2020,B,13,艺术学,337,35,35,53,53,,https://yz.chsi.com.cn/kyzx/
2019,A,1,哲学,295,42,42,63,63,,https://yz.chsi.com.cn/kyzx/
2019,B,1,哲学,285,39,39,59,59,,https://yz.chsi.com.cn/kyzx/
2019,A,2,经济学,345,49,49,74,74,,https://yz.chsi.com.cn/kyzx/
2019,B,2,经济学,335,46,46,69,69,,https://yz.chsi.com.cn/kyzx/
2019,A,3,法学,320,44,44,66,66,,https://yz.chsi.com.cn/kyzx/
2019,B,3,法学,310,41,41,62,62,,https://yz.chsi.com.cn/kyzx/
2019,A,4,教育学,325,44,44,132,,,https://yz.chsi.com.cn/kyzx/
2019,B,4,教育学,315,41,41,123,,,https://yz.chsi.com.cn/kyzx/
2019,A,5,文学,355,51,51,77,77,,https://yz.chsi.com.cn/kyzx/
2019,B,5,文学,345,48,48,72,72,,https://yz.chsi.com.cn/kyzx/
2019,A,6,历史学,325,44,44,132,,,https://yz.chsi.com.cn/kyzx/
2019,B,6,历史学,315,41,41,123,,,https://yz.chsi.com.cn/kyzx/
2019,A,7,理学,290,41,41,62,62,,https://yz.chsi.com.cn/kyzx/
2019,B,7,理学,280,38,38,57,57,,https://yz.chsi.com.cn/kyzx/
2019,A,8,工学,270,39,39,59,59,,https://yz.chsi.com.cn/kyzx/
2019,B,8,工学,260,36,36,54,54,,https://yz.chsi.com.cn/kyzx/
2019,A,9,农学,255,34,34,51,51,,https://yz.chsi.com.cn/kyzx/
2019,B,9,农学,245,31,31,47,47,,https://yz.chsi.com.cn/kyzx/
2019,A,10,医学,305,43,43,129,,,https://yz.chsi.com.cn/kyzx/
2019,B,10,医学,295,40,40,120,,,https://yz.chsi.com.cn/kyzx/
2019,A,11,军事学,270,37,37,56,56,,https://yz.chsi.com.cn/kyzx/
2019,B,11,军事学,260,34,34,51,51,,https://yz.chsi.com.cn/kyzx/
2019,A,12,管理学,345,49,49,74,74,,https://yz.chsi.com.cn/kyzx/
2019,B,12,管理学,335,46,46,69,69,,https://yz.chsi.com.cn/kyzx/
2019,A,13,艺术学,340,38,38,57,57,,https://yz.chsi.com.cn/kyzx/
2019,B,13,艺术学,330,35,35,53,53,,https://yz.chsi.com.cn/kyzx/
2018,A,1,哲学,280,39,39,59,59,,https://yz.chsi.com.cn/kyzx/
2018,B,1,哲学,270,36,36,54,54,,https://yz.chsi.com.cn/kyzx/
2018,A,2,经济学,330,44,44,66,66,,https://yz.chsi.com.cn/kyzx/
2018,B,2,经济学,320,41,41,62,62,,https://yz.chsi.com.cn/kyzx/
2018,A,3,法学,315,42,42,63,63,,https://yz.chsi.com.cn/kyzx/
2018,B,3,法学,305,39,39,59,59,,https://yz.chsi.com.cn/kyzx/
2018,A,4,教育学,320,44,44,132,,,https://yz.chsi.com.cn/kyzx/
2018,B,4,教育学,310,41,41,123,,,https://yz.chsi.com.cn/kyzx/
2018,A,5,文学,345,55,55,83,83,,https://yz.chsi.com.cn/kyzx/
2018,B,5,文学,335,52,52,78,78,,https://yz.chsi.com.cn/kyzx/
2018,A,6,历史学,315,43,43,129,,,https://yz.chsi.com.cn/kyzx/
2018,B,6,历史学,305,40,40,120,,,https://yz.chsi.com.cn/kyzx/
2018,A,7,理学,280,38,38,57,57,,https://yz.chsi.com.cn/kyzx/
2018,B,7,理学,270,35,35,53,53,,https://yz.chsi.com.cn/kyzx/
2018,A,8,工学,260,34,34,51,51,,https://yz.chsi.com.cn/kyzx/
2018,B,8,工学,250,31,31,47,47,,https://yz.chsi.com.cn/kyzx/
2018,A,9,农学,255,34,34,51,51,,https://yz.chsi.com.cn/kyzx/
2018,B,9,农学,245,31,31,47,47,,https://yz.chsi.com.cn/kyzx/
2018,A,10,医学,300,40,40,120,,,https://yz.chsi.com.cn/kyzx/
2018,B,10,医学,290,37,37,111,,,https://yz.chsi.com.cn/kyzx/
2018,A,11,军事学,270,37,37,56,56,,https://yz.chsi.com.cn/kyzx/
2018,B,11,军事学,260,34,34,51,51,,https://yz.chsi.com.cn/kyzx/
2018,A,12,管理学,330,44,44,66,66,,https://yz.chsi.com.cn/kyzx/
2018,B,12,管理学,320,41,41,62,62,,https://yz.chsi.com.cn/kyzx/
2018,A,13,艺术学,335,36,36,54,54,,https://yz.chsi.com.cn/kyzx/
2018,B,13,艺术学,325,33,33,50,50,,https://yz.chsi.com.cn/kyzx/
2017,A,1,哲学,285,38,38,57,57,,https://yz.chsi.com.cn/kyzx/
2017,B,1,哲学,275,35,35,53,53,,https://yz.chsi.com.cn/kyzx/
2017,A,2,经济学,335,46,46,69,69,,https://yz.chsi.com.cn/kyzx/
2017,B,2,经济学,325,43,43,65,65,,https://yz.chsi.com.cn/kyzx/
2017,A,3,法学,310,44,44,66,66,,https://yz.chsi.com.cn/kyzx/
2017,B,3,法学,300,41,41,62,62,,https://yz.chsi.com.cn/kyzx/
2017,A,4,教育学,310,44,44,132,,,https://yz.chsi.com.cn/kyzx/
2017,B,4,教育学,300,41,41,123,,,https://yz.chsi.com.cn/kyzx/
2017,A,5,文学,345,53,53,80,80,,https://yz.chsi.com.cn/kyzx/
2017,B,5,文学,335,50,50,75,75,,https://yz.chsi.com.cn/kyzx/
2017,A,6,历史学,315,45,45,135,,,https://yz.chsi.com.cn/kyzx/
2017,B,6,历史学,305,42,42,126,,,https://yz.chsi.com.cn/kyzx/
2017,A,7,理学,290,39,39,59,59,,https://yz.chsi.com.cn/kyzx/
2017,B,7,理学,280,36,36,54,54,,https://yz.chsi.com.cn/kyzx/
2017,A,8,工学,265,35,35,53,53,,https://yz.chsi.com.cn/kyzx/
2017,B,8,工学,255,32,32,48,48,,https://yz.chsi.com.cn/kyzx/
2017,A,9,农学,255,34,34,51,51,,https://yz.chsi.com.cn/kyzx/
2017,B,9,农学,245,31,31,47,47,,https://yz.chsi.com.cn/kyzx/
2017,A,10,医学,295,40,40,120,,,https://yz.chsi.com.cn/kyzx/
2017,B,10,医学,285,37,37,111,,,https://yz.chsi.com.cn/kyzx/
2017,A,11,军事学,280,39,39,59,59,,https://yz.chsi.com.cn/kyzx/
2017,B,11,军事学,270,36,36,54,54,,https://yz.chsi.com.cn/kyzx/
2017,A,12,管理学,340,46,46,69,69,,https://yz.chsi.com.cn/kyzx/
2017,B,12,管理学,330,43,43,65,65,,https://yz.chsi.com.cn/kyzx/
2017,A,13,艺术学,335,35,35,53,53,,https://yz.chsi.com.cn/kyzx/
2017,B,13,艺术学,325,32,32,48,48,,https://yz.chsi.com.cn/kyzx/
